,LGA,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,Over 65 total per LGA
15,Bunbury ,390.0,371.0,357.0,383.0,380.0,320.0,315.0,273.0,230.0,241.0,220.0,221.0,233.0,169.0,205.0,164.0,180.0,149.0,144.0,120.0,143.0,97.0,124.0,90.0,82.0,85.0,54.0,61.0,46.0,29.0,22.0,17.0,8.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,5937.0
16,Busselton ,503.0,488.0,476.0,441.0,545.0,397.0,371.0,370.0,305.0,350.0,277.0,285.0,236.0,244.0,227.0,207.0,174.0,176.0,160.0,143.0,141.0,132.0,108.0,101.0,83.0,71.0,57.0,47.0,32.0,25.0,22.0,10.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7220.0
17,Cambridge ,243.0,218.0,205.0,225.0,200.0,198.0,186.0,161.0,180.0,153.0,161.0,163.0,137.0,155.0,157.0,158.0,132.0,133.0,123.0,126.0,106.0,116.0,91.0,93.0,91.0,68.0,69.0,49.0,31.0,42.0,32.0,12.0,11.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,4238.0
18,Canning ,859.0,838.0,797.0,783.0,760.0,616.0,535.0,616.0,492.0,520.0,464.0,417.0,391.0,391.0,381.0,348.0,284.0,279.0,252.0,237.0,204.0,234.0,185.0,175.0,164.0,134.0,102.0,102.0,71.0,47.0,49.0,33.0,20.0,18.0,6.0,6.0,0.0,0.0,0.0,0.0,11810.0
19,Capel ,192.0,136.0,133.0,161.0,169.0,122.0,106.0,94.0,100.0,84.0,71.0,66.0,62.0,50.0,40.0,36.0,35.0,32.0,32.0,25.0,26.0,21.0,16.0,7.0,15.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1847.0
20,Carnamah ,5.0,7.0,8.0,6.0,10.0,4.0,5.0,12.0,9.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
21,Carnarvon ,61.0,52.0,55.0,55.0,57.0,50.0,31.0,38.0,47.0,41.0,36.0,34.0,30.0,17.0,39.0,12.0,17.0,17.0,10.0,9.0,13.0,15.0,9.0,11.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0
22,Chapman Valley ,22.0,12.0,12.0,21.0,21.0,23.0,8.0,7.0,17.0,15.0,9.0,9.0,9.0,12.0,3.0,4.0,4.0,4.0,5.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0
23,Chittering ,80.0,63.0,48.0,70.0,63.0,53.0,52.0,52.0,50.0,33.0,42.0,41.0,22.0,35.0,24.0,15.0,23.0,14.0,11.0,11.0,13.0,5.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.0
24,Claremont ,116.0,103.0,106.0,115.0,102.0,116.0,112.0,114.0,88.0,105.0,112.0,81.0,84.0,74.0,67.0,73.0,76.0,57.0,83.0,45.0,57.0,62.0,49.0,57.0,49.0,35.0,31.0,25.0,25.0,20.0,18.0,12.0,5.0,4.0,6.0,4.0,0.0,4.0,0.0,0.0,2292.0
25,Cockburn ,912.0,838.0,802.0,787.0,788.0,610.0,599.0,546.0,550.0,523.0,455.0,451.0,437.0,430.0,382.0,362.0,346.0,349.0,277.0,236.0,232.0,227.0,196.0,162.0,136.0,107.0,96.0,72.0,65.0,40.0,41.0,18.0,12.0,24.0,7.0,5.0,0.0,0.0,0.0,0.0,12120.0
26,Collie ,123.0,122.0,117.0,134.0,95.0,108.0,74.0,86.0,58.0,64.0,60.0,46.0,47.0,40.0,33.0,53.0,36.0,35.0,42.0,35.0,30.0,14.0,23.0,14.0,5.0,15.0,8.0,8.0,11.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549.0
27,Coolgardie ,41.0,30.0,18.0,27.0,24.0,19.0,15.0,9.0,16.0,25.0,7.0,14.0,10.0,4.0,4.0,9.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0
28,Coorow ,26.0,19.0,22.0,20.0,15.0,17.0,8.0,20.0,19.0,15.0,7.0,10.0,5.0,0.0,7.0,5.0,9.0,3.0,4.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
29,Corrigin ,22.0,14.0,22.0,16.0,16.0,0.0,6.0,11.0,6.0,10.0,15.0,10.0,7.0,15.0,3.0,4.0,6.0,10.0,11.0,10.0,3.0,5.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
30,Cottesloe ,98.0,88.0,98.0,57.0,103.0,93.0,83.0,68.0,48.0,75.0,53.0,43.0,50.0,40.0,32.0,30.0,34.0,24.0,22.0,26.0,15.0,29.0,26.0,30.0,32.0,26.0,15.0,18.0,12.0,4.0,11.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.0
31,Cranbrook ,23.0,12.0,16.0,18.0,15.0,19.0,11.0,9.0,3.0,14.0,10.0,9.0,10.0,9.0,8.0,18.0,3.0,4.0,0.0,0.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0
32,Cuballing ,15.0,19.0,9.0,14.0,19.0,11.0,15.0,8.0,8.0,12.0,0.0,8.0,17.0,3.0,7.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
33,Cue ,4.0,5.0,0.0,4.0,5.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
34,Cunderdin ,17.0,16.0,11.0,22.0,14.0,5.0,12.0,9.0,15.0,7.0,11.0,14.0,12.0,4.0,5.0,3.0,10.0,12.0,4.0,3.0,0.0,3.0,0.0,5.0,0.0,6.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0
35,Dalwallinu ,12.0,16.0,10.0,9.0,4.0,17.0,16.0,6.0,4.0,9.0,15.0,6.0,0.0,5.0,7.0,14.0,7.0,7.0,7.0,8.0,12.0,5.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0
36,Dandaragan ,58.0,48.0,53.0,65.0,57.0,38.0,44.0,46.0,40.0,28.0,35.0,19.0,28.0,33.0,13.0,24.0,19.0,12.0,15.0,8.0,19.0,4.0,3.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0
37,Dardanup ,158.0,133.0,135.0,128.0,132.0,102.0,106.0,105.0,86.0,81.0,88.0,97.0,78.0,80.0,70.0,82.0,59.0,54.0,42.0,50.0,50.0,32.0,39.0,28.0,17.0,32.0,18.0,11.0,14.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2126.0
38,Denmark ,122.0,107.0,104.0,87.0,126.0,84.0,97.0,90.0,64.0,49.0,60.0,54.0,56.0,50.0,25.0,44.0,41.0,32.0,33.0,26.0,22.0,12.0,14.0,13.0,15.0,3.0,7.0,9.0,5.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1461.0
39,Derby-West Kimberley ,65.0,44.0,43.0,43.0,32.0,36.0,24.0,23.0,20.0,10.0,16.0,14.0,13.0,13.0,9.0,10.0,7.0,6.0,8.0,6.0,3.0,13.0,9.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0
